ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
115,Florence Road Preschool,Centre-Based Care,SURREY HILLS,3127,48,Meeting NQS,No,No,Yes,No,No,No,No,112
116,Deakin & Community Childcare Co-operative,Centre-Based Care,BURWOOD,3125,60,Exceeding NQS,Yes,No,No,No,No,No,No,98
117,Surrey Hills Baptist Children's Centre,Centre-Based Care,SURREY HILLS,3127,98,Exceeding NQS,Yes,No,No,No,No,No,No,87
118,Guardian Childcare & Education Box Hill,Centre-Based Care,BOX HILL,3128,46,Exceeding NQS,Yes,No,No,No,No,No,No,114
119,Surrey Hills Child Care Centre,Centre-Based Care,SURREY HILLS,3127,47,Working Towards NQS,Yes,No,No,No,No,No,No,186
120,Papilio Early Learning Box Hill North,Centre-Based Care,BOX HILL NORTH,3129,55,Meeting NQS,Yes,No,No,No,No,No,No,173
121,Presbyterian Ladies College Early Learning,Centre-Based Care,BURWOOD,3125,163,Exceeding NQS,Yes,No,No,No,No,No,No,133
122,Watts Street Children's Centre,Centre-Based Care,BOX HILL,3128,80,Exceeding NQS,Yes,No,No,No,No,No,No,181
123,Brighton Beach Early Learning Centre,Centre-Based Care,BRIGHTON,3186,64,Meeting NQS,Yes,No,No,No,No,No,No,180
124,Wilson Street Kindergarten,Centre-Based Care,BRIGHTON,3186,54,Exceeding NQS,No,No,Yes,No,No,No,No,194
125,Hurlingham Park Preschool,Centre-Based Care,BRIGHTON EAST,3187,30,Meeting NQS,No,No,Yes,No,No,No,No,85
126,St Marys Preschool,Centre-Based Care,BRIGHTON EAST,3187,30,Exceeding NQS,No,No,Yes,No,No,No,No,112
127,Brighton Baptist Kindergarten,Centre-Based Care,BRIGHTON,3186,35,Exceeding NQS,No,No,Yes,No,No,No,No,52
128,St Peters Kindergarten,Centre-Based Care,BRIGHTON,3186,26,Exceeding NQS,No,No,Yes,No,No,No,No,77
129,Melbourne Montessori School Brighton Campus,Centre-Based Care,BRIGHTON EAST,3187,158,Exceeding NQS,Yes,No,No,No,No,No,No,95
130,Bambini Juniors Early Learning Centre,Centre-Based Care,BRIGHTON,3186,121,Exceeding NQS,Yes,No,No,No,No,No,No,96
131,Hunt Community Child Care Centre,Centre-Based Care,BRIGHTON,3186,44,Meeting NQS,Yes,No,No,No,No,No,No,197
132,Brighton Early Learning Centre,Centre-Based Care,BRIGHTON,3186,64,Meeting NQS,Yes,No,No,No,No,No,No,61
133,Firbank Grammar School,Centre-Based Care,BRIGHTON,3186,127,Exceeding NQS,Yes,Yes,No,Yes,Yes,Yes,No,104
134,Mt Piper Kindergarten,Centre-Based Care,BROADFORD,3658,62,Meeting NQS,No,No,Yes,No,No,No,No,189
135,Campbellfield Preschool,Centre-Based Care,CAMPBELLFIELD,3061,30,Meeting NQS,No,No,Yes,No,No,No,No,68
136,Moomba Park Kindergarten,Centre-Based Care,FAWKNER,3060,60,Meeting NQS,No,No,Yes,No,No,No,No,119
137,Glenroy Memorial Kindergarten,Centre-Based Care,GLENROY,3046,30,Working Towards NQS,No,No,Yes,No,No,No,No,84
138,Oak Park Kindergarten,Centre-Based Care,OAK PARK,3046,33,Exceeding NQS,No,No,Yes,No,No,No,No,164
139,Taylor Drive Preschool,Centre-Based Care,TULLAMARINE,3043,33,Meeting NQS,No,Yes,No,No,No,No,No,151
140,Westmeadows Preschool,Centre-Based Care,WESTMEADOWS,3049,33,Meeting NQS,No,No,Yes,No,No,No,No,126
141,Joybelle Child Care Centre,Centre-Based Care,FAWKNER,3060,50,Meeting NQS,Yes,No,No,No,No,No,No,166
142,Tarcoola Preschool,Centre-Based Care,COOLAROO WEST,3048,81,Meeting NQS,No,No,Yes,No,No,No,No,66
143,Belle Vue Park Kindergarten,Centre-Based Care,GLENROY,3046,59,Meeting NQS,No,Yes,No,No,No,No,No,145
144,Pearl Street Child Care Centre,Centre-Based Care,GLENROY,3046,65,Meeting NQS,Yes,No,No,No,No,No,No,184
145,East Brunswick Kindergarten,Centre-Based Care,EAST BRUNSWICK,3057,75,Exceeding NQS,Yes,No,No,No,No,No,No,97
146,Denzil Don Free Kindergarten,Centre-Based Care,BRUNSWICK WEST,3055,75,Exceeding NQS,No,No,Yes,No,No,No,No,164
147,MCM Early Years Hub Hartnett House,Centre-Based Care,BRUNSWICK,3056,126,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,179
148,Dewdrops Early Learning - Moreland,Centre-Based Care,BRUNSWICK,3056,46,Meeting NQS,Yes,No,No,No,No,No,No,93
149,Dawson Street Child Care Centre,Centre-Based Care,BRUNSWICK,3056,58,Exceeding NQS,Yes,No,No,No,No,No,No,143
150,Dunstan Reserve Child Care Centre,Centre-Based Care,BRUNSWICK WEST,3055,72,Exceeding NQS,Yes,No,No,No,No,No,No,147
151,Tinning Street Child Care Centre,Centre-Based Care,BRUNSWICK,3056,35,Exceeding NQS,Yes,No,No,No,No,No,No,187
152,Park Street Child Care and Kindergarten,Centre-Based Care,BRUNSWICK,3056,44,Exceeding NQS,Yes,No,No,No,No,No,No,149
153,Mitchell Street Child Care Centre,Centre-Based Care,BRUNSWICK,3056,35,Exceeding NQS,Yes,No,No,No,No,No,No,145
154,Brunswick Creche & Day Nursery,Centre-Based Care,BRUNSWICK,3056,62,Meeting NQS,Yes,No,No,No,No,No,No,127
155,Dobell Avenue Preschool,Centre-Based Care,SUNBURY,3429,29,Exceeding NQS,No,No,Yes,No,No,No,No,121
156,St Andrews Sunbury Kindergarten,Centre-Based Care,SUNBURY,3429,60,Exceeding NQS,No,No,Yes,No,No,No,No,138
157,Stewarts Lane Preschool,Centre-Based Care,SUNBURY,3429,66,Exceeding NQS,No,No,Yes,No,No,No,No,178
158,Bank Street Preschool,Centre-Based Care,CRAIGIEBURN,3064,33,Meeting NQS,No,No,Yes,No,No,No,No,138
159,McEwen Drive Preschool,Centre-Based Care,SUNBURY,3429,33,Meeting NQS,No,No,Yes,No,No,No,No,106
160,Mitford Crescent Preschool,Centre-Based Care,CRAIGIEBURN,3064,33,Meeting NQS,No,No,Yes,No,No,No,No,145
161,Learmonth Street Preschool,Centre-Based Care,SUNBURY,3429,29,Exceeding NQS,No,No,Yes,No,No,No,No,185
162,Bradford Avenue Children's Centre,Centre-Based Care,GREENVALE,3059,66,Meeting NQS,No,No,Yes,No,No,No,No,123
163,Pembroke Crescent Preschool Centre,Centre-Based Care,CRAIGIEBURN,3064,33,Working Towards NQS,No,No,Yes,No,No,No,No,118
164,Barrymore Road Children's Centre,Centre-Based Care,GREENVALE,3059,71,Meeting NQS,No,No,Yes,No,No,No,No,107
165,Craigieburn Early Childhood Services Centre,Centre-Based Care,CRAIGIEBURN,3064,75,Exceeding NQS,Yes,No,No,No,No,No,No,107
166,Sunningdale Children's Centre,Centre-Based Care,SUNBURY,3429,130,Meeting NQS,Yes,No,No,No,No,No,No,54
167,Roxburgh Park Community House & Children's Centre,Centre-Based Care,ROXBURGH PARK,3064,52,Meeting NQS,No,No,Yes,No,No,No,No,164
168,Attwood Child Care Centre and Kindergarten,Centre-Based Care,ATTWOOD,3049,67,Meeting NQS,Yes,No,No,No,No,No,No,119
169,Oak Street Kindergarten,Centre-Based Care,DROUIN,3818,62,Exceeding NQS,No,No,Yes,No,No,No,No,99
170,Longwarry Kindergarten,Centre-Based Care,LONGWARRY,3816,38,Exceeding NQS,No,No,Yes,No,No,No,No,149
171,Buninyong Preschool,Centre-Based Care,BUNINYONG,3357,63,Exceeding NQS,No,No,Yes,No,No,No,No,98
172,Mt Clear Community Kindergarten,Centre-Based Care,MOUNT CLEAR,3350,66,Meeting NQS,No,No,Yes,No,No,No,No,179
173,Estrella Preschool,Centre-Based Care,ASHBURTON,3147,30,Meeting NQS,No,No,Yes,No,No,No,No,54
174,Balwyn East Kindergarten,Centre-Based Care,BALWYN,3103,28,Meeting NQS,No,No,Yes,No,No,No,No,162
175,Yongala Kindergarten,Centre-Based Care,BALWYN,3103,27,Exceeding NQS,No,No,Yes,No,No,No,No,92
176,Bellevue Kindergarten,Centre-Based Care,BALWYN NORTH,3104,52,Meeting NQS,No,No,Yes,No,No,No,No,192
177,Boroondara Preschool,Centre-Based Care,BALWYN NORTH,3104,30,Exceeding NQS,No,No,Yes,No,No,No,No,190
178,The Merrell Kindergarten,Centre-Based Care,BALWYN NORTH,3104,28,Exceeding NQS,No,No,Yes,No,No,No,No,118
179,Rowen Street Kindergarten,Centre-Based Care,GLEN IRIS,3146,55,Exceeding NQS,No,No,Yes,No,No,No,No,167
180,Alfred Road Kindergarten,Centre-Based Care,GLEN IRIS,3146,30,Exceeding NQS,No,No,Yes,No,No,No,No,195
181,Summerhill Park Kindergarten,Centre-Based Care,GLEN IRIS,3146,27,Exceeding NQS,No,No,Yes,No,No,No,No,117
182,Fordham Avenue Kindergarten,Centre-Based Care,CAMBERWELL,3124,51,Exceeding NQS,No,No,Yes,No,No,No,No,128
183,St Dunstan's Kindergarten,Centre-Based Care,CAMBERWELL,3124,27,Exceeding NQS,No,No,Yes,No,No,No,No,58
184,Canterbury Norwood Baptist Kindergarten,Centre-Based Care,CANTERBURY,3126,30,Exceeding NQS,No,No,Yes,No,No,No,No,169
185,St Pauls Anglican Kindergarten,Centre-Based Care,CANTERBURY,3126,48,Exceeding NQS,No,No,Yes,No,No,No,No,97
186,Deepdene Preschool,Centre-Based Care,DEEPDENE,3103,25,Meeting NQS,No,No,Yes,No,No,No,No,141
187,Canterbury & District Preschool,Centre-Based Care,SURREY HILLS,3127,28,Exceeding NQS,No,No,Yes,No,No,No,No,192
188,Surrey Hills Preschool Centre,Centre-Based Care,SURREY HILLS,3127,49,Meeting NQS,No,No,Yes,No,No,No,No,158
189,Cgs Pre-preparatory Centre,Centre-Based Care,CANTERBURY,3126,27,Meeting NQS,No,Yes,No,No,No,No,No,140
190,Highgate Early Learning Centre,Centre-Based Care,ASHBURTON,3147,55,Exceeding NQS,Yes,No,No,No,No,No,No,198
191,Canterbury Child Care Centre,Centre-Based Care,CANTERBURY,3126,31,Meeting NQS,Yes,No,No,No,No,No,No,105
192,Through Road Child Care Centre,Centre-Based Care,CAMBERWELL,3124,44,Exceeding NQS,Yes,No,No,No,No,No,No,59
193,Papilio Early Learning Ashburton,Centre-Based Care,ASHBURTON,3147,70,Meeting NQS,Yes,No,No,No,No,No,No,131
194,Camberwell Kindergarten and Child Care Centre,Centre-Based Care,CAMBERWELL,3124,51,Meeting NQS,Yes,No,No,No,No,No,No,149
195,Minifie Park Early Childhood Centre,Centre-Based Care,BALWYN,3103,102,Meeting NQS,Yes,No,No,No,No,No,No,132
196,Baranbali Camperdown Kindergarten,Centre-Based Care,CAMPERDOWN,3260,60,Exceeding NQS,No,No,Yes,No,No,No,No,107
197,Castlemaine Kindergarten,Centre-Based Care,CASTLEMAINE,3450,58,Exceeding NQS,No,No,Yes,No,No,No,No,127
198,South Castlemaine Kindergarten,Centre-Based Care,CASTLEMAINE,3450,29,Exceeding NQS,No,No,Yes,No,No,No,No,117
199,Castlemaine Child Care Centre,Centre-Based Care,CASTLEMAINE,3450,60,Exceeding NQS,Yes,No,No,No,No,No,No,139
200,Fink Karp Ivany Early Learning Centre,Centre-Based Care,CAULFIELD SOUTH,3162,87,Exceeding NQS,Yes,No,No,No,No,No,No,107
201,Sholem Aleichem Preschool Education Centre,Centre-Based Care,ELSTERNWICK,3185,121,Exceeding NQS,Yes,No,No,No,No,No,No,140
202,Ormond Community Kindergarten,Centre-Based Care,ORMOND,3204,30,Exceeding NQS,No,No,Yes,No,No,No,No,183
203,Ripponlea Kindergarten,Centre-Based Care,ST KILDA EAST,3183,24,Exceeding NQS,No,Yes,No,No,No,No,No,164
204,GEKA Murrumbeena Kindergarten,Centre-Based Care,MURRUMBEENA,3163,27,Meeting NQS,No,No,Yes,No,No,No,No,66
205,Adass Israel Preschool,Centre-Based Care,ELSTERNWICK,3185,250,Exceeding NQS,Yes,No,No,No,No,No,No,69
206,Shelford Child Care & Early Learning Centre,Centre-Based Care,CAULFIELD,3162,56,Exceeding NQS,Yes,No,No,No,Yes,No,No,157
